Field,Data assumptions,Taxonworks content type,Taxonworks field name,Notes or processing instructions,Standard
body,,,,,
field_date,,,,,
field_importance,,,,,
field_int_collection,,,,,
field_interaction_record_type,,,,,
field_life_cycle_stage,,,,,
field_location_ref,,,,,
field_organism_part,,,,,
field_reference,,,,,
field_reference_page,,,,,
field_species_status,,,,,
field_specimen_1,,,,,
field_taxonomic_name,,,,,
field_interaction_type,,,,,
